speed index,angular speed index,graph index,entry index
0,0,0,0
0,1,0,2
0,2,0,2
0,3,0,3
0,4,0,3
0,5,0,4
0,6,0,5
0,7,0,5
0,8,0,6
0,9,0,7
0,10,0,8
0,11,0,9
0,12,0,10
0,13,0,11
0,14,0,13
0,15,0,14
0,16,0,16
0,17,0,18
0,18,0,21
0,19,0,24
0,20,0,28
0,21,0,33
0,22,0,40
1,0,1,0
1,1,0,2
1,2,1,2
1,3,0,3
1,4,1,3
1,5,0,4
1,6,0,5
1,7,0,6
1,8,0,6
1,9,0,7
1,10,0,8
1,11,0,9
1,12,0,10
1,13,0,11
1,14,0,13
1,15,0,14
1,16,0,16
1,17,0,18
1,18,0,21
1,19,0,24
1,20,0,28
1,21,0,33
1,22,0,40
2,0,1,1
2,1,1,2
2,2,1,2
2,3,1,3
2,4,1,3
2,5,1,4
2,6,1,4
2,7,1,5
2,8,1,5
2,9,1,6
2,10,0,8
2,11,0,9
2,12,0,10
2,13,0,11
2,14,0,13
2,15,0,14
2,16,0,16
2,17,0,18
2,18,0,21
2,19,0,24
2,20,0,28
2,21,0,33
2,22,0,40
3,0,2,0
3,1,2,0
3,2,1,2
3,3,2,2
3,4,1,3
3,5,2,3
3,6,1,4
3,7,1,5
3,8,1,6
3,9,1,6
3,10,1,7
3,11,1,8
3,12,1,9
3,13,1,10
3,14,0,13
3,15,0,15
3,16,0,16
3,17,0,18
3,18,0,21
3,19,0,24
3,20,0,28
3,21,0,33
3,22,0,40
4,0,2,1
4,1,2,1
4,2,2,2
4,3,2,2
4,4,2,3
4,5,2,3
4,6,2,4
4,7,2,4
4,8,2,5
4,9,2,5
4,10,2,6
4,11,1,8
4,12,2,7
4,13,2,8
4,14,1,11
4,15,1,12
4,16,1,14
4,17,1,15
4,18,0,21
4,19,0,24
4,20,0,28
4,21,0,33
4,22,0,40
5,0,3,0
5,1,3,0
5,2,2,2
5,3,3,2
5,4,2,3
5,5,2,3
5,6,2,4
5,7,2,4
5,8,2,5
5,9,2,5
5,10,2,6
5,11,2,6
5,12,2,7
5,13,2,8
5,14,2,9
5,15,2,10
5,16,2,11
5,17,2,12
5,18,1,18
5,19,1,20
5,20,0,28
5,21,0,33
5,22,0,40
6,0,3,1
6,1,3,1
6,2,3,2
6,3,3,2
6,4,3,3
6,5,3,3
6,6,3,3
6,7,3,4
6,8,3,4
6,9,3,5
6,10,3,5
6,11,3,6
6,12,2,7
6,13,3,7
6,14,3,8
6,15,2,10
6,16,2,11
6,17,2,12
6,18,2,14
6,19,2,15
6,20,1,24
6,21,0,33
6,22,0,40
7,0,4,0
7,1,4,0
7,2,4,2
7,3,4,2
7,4,4,2
7,5,3,3
7,6,4,3
7,7,3,4
7,8,4,4
7,9,3,5
7,10,4,5
7,11,3,6
7,12,4,6
7,13,3,7
7,14,3,8
7,15,3,9
7,16,3,10
7,17,3,11
7,18,3,12
7,19,2,16
7,20,2,18
7,21,1,28
7,22,0,40
8,0,4,1
8,1,4,1
8,2,4,2
8,3,4,2
8,4,4,2
8,5,4,3
8,6,4,3
8,7,4,4
8,8,4,4
8,9,4,4
8,10,4,5
8,11,4,5
8,12,4,6
8,13,4,7
