x,y,speed,time,angle
-109.72,8.52,-0.0143,0,4.712385307
-109.72,8.52,-0.0143,0.016662598,4.712385307
-109.69,8.35,20.6575,0.025001526,4.713155307
-109.63,8.01,41.0425,0.033332825,4.714885307
-109.54,7.5,61.2127,0.041664124,4.717185307
-109.42,6.82,81.2211,0.049995422,4.720635307
-109.27,5.98,100.9615,0.058334351,4.724565307
-109.09,4.98,120.5947,0.066665649,4.729555307
-108.87,3.82,140.0924,0.074996948,4.735395307
-108.62,2.5,159.6406,0.083328247,4.741915307
-108.33,1.02,178.7299,0.091667175,4.749305307
-108,-0.62,197.8762,0.099998474,4.757445307
-107.63,-2.41,216.9241,0.108329773,4.766365307
-107.22,-4.36,236.2116,0.116668701,4.776045307
-106.77,-6.46,254.7159,0.125,4.786305307
-106.27,-8.71,273.4492,0.133331299,4.797335307
-105.72,-11.11,292.0763,0.141662598,4.808935307
-105.12,-13.65,311.0769,0.150001526,4.821105307
-104.47,-16.34,328.9881,0.158332825,4.833865307
-103.76,-19.17,347.2714,0.166664124,4.847185307
-102.99,-22.14,365.4305,0.174995422,4.860995307
-102.16,-25.25,384.047,0.183334351,4.875275307
-101.26,-28.49,401.3683,0.191665649,4.890135307
-100.29,-31.86,419.1451,0.199996948,4.905285307
-99.24,-35.36,436.7709,0.208328247,4.920815307
-98.11,-38.99,454.8699,0.216667175,4.936825307
-96.9,-42.75,471.5926,0.224998474,4.953125307
-95.6,-46.63,488.7786,0.233329773,4.969715307
-94.21,-50.62,505.8083,0.241668701,4.986585307
-92.73,-54.73,523.2326,0.25,5.003655307
-91.15,-58.95,539.3132,0.258331299,5.021105307
-89.46,-63.27,555.7708,0.266662598,5.038835307
-87.66,-67.7,572.0372,0.275001526,5.056575307
-85.75,-72.22,588.599,0.283332825,5.074795307
-83.72,-76.84,603.9993,0.291664124,5.093105307
-81.57,-81.54,619.7014,0.299995422,5.111605307
-79.3,-86.33,635.2274,0.308334351,5.130395307
-76.9,-91.2,650.9497,0.316665649,5.149475307
-74.37,-96.14,665.7374,0.324996948,5.168555307
-71.7,-101.15,680.7229,0.333328247,5.187825307
-68.89,-106.22,695.5311,0.341667175,5.207285307
-65.94,-111.35,710.3972,0.349998474,5.226945307
-62.84,-116.54,724.6088,0.358329773,5.246695307
-59.59,-121.77,738.8845,0.366668701,5.266635307
-56.19,-127.05,752.9934,0.375,5.286575307
-52.64,-132.36,767.0116,0.383331299,5.306715307
-48.93,-137.7,780.6978,0.391662598,5.326935307
-45.06,-143.07,794.2951,0.400001526,5.347165307
-41.03,-148.46,807.7338,0.408332825,5.367595307
-36.83,-153.86,820.9216,0.416664124,5.387915307
-32.47,-159.27,834.1199,0.424995422,5.408435307
-27.94,-164.69,847.073,0.433334351,5.428945307
-23.24,-170.1,859.8684,0.441665649,5.449465307
-18.38,-175.5,872.2515,0.449996948,5.469985307
-13.35,-180.89,885.0052,0.458328247,5.490595307
-8.14,-186.26,897.3484,0.466667175,5.511115307
-2.76,-191.6,909.5449,0.474998474,5.531725307
2.79,-196.91,921.1783,0.483329773,5.552245307
8.51,-202.18,933.5255,0.491668701,5.572765307
14.4,-207.41,945.3059,0.5,5.593275307
20.46,-212.59,956.9572,0.508331299,5.613695307
26.69,-217.72,967.9038,0.516662598,5.634115307
33.09,-222.79,979.871,0.525001526,5.654445307
39.66,-227.79,991.1427,0.533332825,5.674765307
46.4,-232.72,1002.2888,0.541664124,5.695095307
53.31,-237.58,1012.6029,0.549995422,5.715225307
60.39,-242.36,1024.1978,0.558334351,5.735365307
67.63,-247.05,1034.9497,0.566665649,5.755305307
75.04,-251.65,1045.5727,0.574996948,5.775345307
82.61,-256.15,1055.2543,0.583328247,5.795285307
90.34,-260.55,1066.4471,0.591667175,5.815325307
98.23,-264.84,1076.6994,0.599998474,5.835265307
106.27,-269.02,1086.834,0.608329773,5.855105307
114.46,-273.08,1095.9447,0.616668701,5.875055307
122.81,-277.02,1106.7729,0.625,5.894895307
131.3,-280.83,1116.5782,0.633331299,5.914835307
139.94,-284.51,1126.2675,0.641662598,5.934685307
148.72,-288.05,1134.8492,0.650001526,5.954525307
157.64,-291.45,1145.342,0.658332825,5.974375307
166.7,-294.71,1154.7201,0.666664124,5.994315307
175.9,-297.82,1163.9972,0.674995422,6.013975307
185.23,-300.77,1172.0791,0.683334351,6.033815307
194.69,-303.57,1182.2602,0.691665649,6.053565307
204.27,-306.2,1191.2467,0.699996948,6.073315307
213.97,-308.67,1200.1299,0.708328247,6.093065307
223.79,-310.97,1207.7308,0.716667175,6.112915307
233.72,-313.1,1217.6206,0.724998474,6.132565307
243.76,-315.05,1226.2305,0.733329773,6.152225307
253.91,-316.82,1234.7494,0.741668701,6.171875307
264.16,-318.4,1241.9151,0.75,6.191435307
274.51,-319.8,1251.5212,0.758331299,6.211185307
284.95,-321.01,1259.7655,0.766662598,6.230645307
295.48,-322.03,1267.9357,0.775001526,6.250205307
306.09,-322.85,1274.6841,0.783332825,6.269665307
316.78,-323.47,1284.0307,0.791664124,6.289125307
327.55,-323.89,1291.9581,0.799995422,6.308595307
338.39,-324.11,1299.8007,0.808334351,6.327955307
349.3,-324.12,1306.1673,0.816665649,6.347325307
360.27,-323.92,1315.2614,0.824996948,6.366595307
371.3,-323.51,1322.8827,0.833328247,6.385865307
382.38,-322.89,1330.4252,0.841667175,6.405135307
393.51,-322.06,1336.4364,0.849998474,6.424315307
404.68,-321.01,1345.291,0.858329773,6.443395307
415.89,-319.74,1352.6284,0.866668701,6.462565307
427.14,-318.26,1359.8888,0.875,6.481545307
438.42,-316.56,1365.5802,0.883331299,6.500535307
449.72,-314.64,1374.2138,0.891662598,6.519515307
461.04,-312.49,1381.2806,0.900001526,6.538405307
472.38,-310.12,1388.2813,0.908332825,6.557195307
483.73,-307.53,1393.6852,0.916664124,6.575985307
495.09,-304.71,1402.1039,0.924995422,6.594675307
506.45,-301.67,1408.8607,0.933334351,6.613275307
517.79,-298.41,1414.7244,0.941665649,6.631975307
529.12,-294.93,1418.6402,0.949996948,6.650475307
540.42,-291.22,1425.7004,0.958328247,6.668885307
551.7,-287.29,1431.2003,0.966667175,6.687295307
562.95,-283.14,1436.7009,0.974998474,6.705605307
574.16,-278.77,1440.622,0.983329773,6.723825307
585.33,-274.18,1447.7104,0.991668701,6.742035307
596.46,-269.37,1453.2183,1,6.760155307
607.55,-264.34,1458.7287,1.008331299,6.778185307
618.58,-259.09,1462.665,1.016662598,6.796205307
